abazinok                      abazin
játékprogramokra              játékprogram
játékrészben                  játékrész
játékszabályok                játékszabály
játékszabályokat              játékszabály
játékszenvedélyembõl          játékszenvedély
játékszer                     játékszer
játékszerekkel                játékszer
játékszolgáltatás             játékszolgáltatás
játékterembe                  játékter
játékteremben                 játékter
játéktermekben                játékterm
játéktér                      játéktér
játékterek                    játékter
játékvezetésre                játékvezetés
játékvezetõ                   játékvezetõ
játékvezetõn                  játékvezetõ
játékárusok                   játékárus
jázmin                        jázm
jégdarabok                    jégdarab
jégesõ                        jégesõ
jégfelületen                  jégfelület
jégfelületén                  jégfelület
jéggé                         jég
jég                           jég
jégbe                         jég
jégrõl                        jég
jéghegy                       jéghegy
jéghegynek                    jéghegy
jéghideg                      jéghideg
jégkorong                     jégkorong
jégkorongcsapata              jégkorongcsapat
jégkorongmérkõzésen           jégkorongmérkõzés
jégkorongozói                 jégkorongozó
jégkrémdarabka                jégkrémdarab
jégkrémet                     jégkre
jégkrémgyártásban             jégkrémgyártás
jégpályai                     jégpály
jégszekrénnyel                jégszekrény
jégtáncoktatás                jégtáncoktatás
jégtáncoktatást               jégtáncoktatás
jégzselé                      jégzsel
jóakaratból                   jóakarat
jóakarattal                   jóakar
jóakaratúlag                  jóakaratúlag
jóakarói                      jóakaró
jóba                          jó
jó                            jó
jóban                         jó
jóból                         jó
jobb                          jobb
jobbak                        jobb
jobbal                        job
jobban                        job
jobban                        job
jobbat                        jobb
jobbik                        jobb
jobbjával                     jobb
jobbnak                       jobb
jobbnál                       jobb
jobbra                        jobb
jobbról                       jobb
jobbá                         job
jók                           jó
jókat                         jó
jókról                        jó
jónak                         jó
jóra                          jó
jóról                         jó
jót                           jó
jóvá                          jó
jóval                         jó
jóban-rosszban                jóban-rossz
jóbarát                       jóbar
jóbarátok                     jóbarát
jócskán                       jócs
jóember                       jóember
jófej                         jófej
jófejek                       jófej
jóformán                      jóform
jógondol                      jógondol
jógondolos                    jógondolos
jógondolosan                  jógondolos
jógondolt                     jógondol
jógondoló                     jógondoló
jóhangzás                     jóhangzás
jóhiszemû                     jóhiszemû
jóhiszemûen                   jóhiszemû
jóhiszemûség                  jóhiszemûség
jóhiszemûségemet              jóhiszemûség
jóhiszemûségét                jóhiszemûség
jóhiszemûségével              jóhiszemûség
jóhírnév                      jóhírnév
jóindulat                     jóindul
jóindulatnak                  jóindulat
jóindulaton                   jóindulat
jóindulattal                  jóindul
jóindulatú                    jóindulatú
jóindulatúak                  jóindulatú
jókedv                        jókedv
jókedvben                     jókedv
jókedvbõl                     jókedv
jókedve                       jókedv
jókedvem                      jókedv
jókedvvel                     jókedv
jókedvével                    jókedv
jókedvük                      jókedv
jókedvükben                   jókedv
jókedvû                       jókedvû
jókedvûen                     jókedvû
jókedvûnek                    jókedvû
jókor                         jó
jókora                        jó
jókorák                       jókora
jóképû                        jóképû
jóképûnek                     jóképû
jókívánságok                  jókívánság
jókívánságokkal               jókívánság
jól                           jól
jólelkû                       jólelkû
jólesett                      jóleset
jólesik                       jóles
jólesõ                        jólesõ
jóllakik                      jóll
jóllakna                      jóllakn
jóllaktam                     jóllakt
jóllaktunk                    jóllakt
jóllakott                     jóllakot
jóllakva                      jóllakv
jóllehet                      jólleh
jólneveltsége                 jólneveltség
jólét                         jól
jólétben                      jólét
jólétet                       jólét
jólétnek                      jólét
jóléttõl                      jólét
jólétét                       jólét
jómaga                        jómag
jómagam                       jómag
jóminõségû                    jóminõségû
jómódban                      jómó
jómódot                       jómó
jómódú                        jómódú
jómódúak                      jómódú
jónéven                       jónév
jópofa                        jópof
jópéldával                    jópéld
jóravaló                      jóravaló
jórészt                       jórész
jórészük                      jórész
jóslat                        jósl
jóslata                       jóslat
jóslatai                      jóslat
jóslatnak                     jóslat
jóslatok                      jóslat
jóslatokat                    jóslat
jóslatokból                   jóslat
jóslatoknak                   jóslat
jóslatát                      jóslat
jósnõvel                      jósnõ
jósolgatott                   jósolgatot
jósolgattunk                  jósolgatt
jósolható                     jósolható
jósolja                       jósol
jósol                         jósol
jósolják                      jósolja
jósolnak                      jósol
jósolni                       jósoln
jósolta                       jósolt
jósolták                      jósolta
jósoltass                     jósoltass
jósolt                        jósol
jóstehetsége                  jóstehetség
jószerencse                   jószerencs
jószerével                    jószer
jószág                        jószág
jószágok                      jószág
jószándékkal                  jószánde
jószívvel                     jószív
jószívû                       jószívû
jóság                         jóság
jósága                        jóság
jóságot                       jóság
jóságról                      jóság
jóságát                       jóság
jóságos                       jóságos
jótevõ                        jótevõ
jótékony                      jótékony
jótékonyság                   jótékonyság
jótékonysági                  jótékonyság
jóviszonyban                  jóviszony
jóvoltukból                   jóvolt
jóvoltából                    jóvolt
jóváhagyhatja                 jóváhagyhat
jóváhagyja                    jóváhagy
jóváhagyna                    jóváhagyn
jóváhagynia                   jóváhagyn
jóváhagyniuk                  jóváhagyn
jóváhagyta                    jóváhagyt
jóváhagyva                    jóváhagyv
jóváhagyott                   jóváhagyot
jóváhagyási                   jóváhagyás
jóváhagyások                  jóváhagyás
jóváhagyás                    jóváhagyás
jóváhagyása                   jóváhagyás
jóváhagyásokat                jóváhagyás
jóváhagyásra                  jóváhagyás
jóváhagyást                   jóváhagyás
jóváhagyásához                jóváhagyás
jóváhagyásának                jóváhagyás
jóváhagyására                 jóváhagyás
jóváhagyásáról                jóváhagyás
jóváhagyását                  jóváhagyás
jóváhagyásától                jóváhagyás
jóváhagyásával                jóváhagyás
jóváhagyó                     jóváhagyó
jóvátegye                     jóvátegy
jóvátegyen                    jóvátegy
jóvátehetetlennek             jóvátehetetlen
jóváírandó                    jóváírandó
jóváírja                      jóváír
jóváírni                      jóváírn
jóváírt                       jóváír
jóváírási                     jóváírás
jóváírásra                    jóváírás
jóváírással                   jóváírás
jóváírást                     jóváírás
jóváírását                    jóváírás
jóváírás                      jóváírás
jóváírása                     jóváírás
józan                         józ
józannak                      józan
józanok                       józan
józanon                       józan
józanul                       józan
józanodik                     józanod
józanság                      józanság
józanságában                  józanság
józanító                      józanító
józsefvárosi                  józsefváros
jóéjszakát                    jóéjsz
jóérzésére                    jóérzés
jóízõen                       jóízõ
jóízû                         jóízû
jóízûen                       jóízû
jóízût                        jóízû
jõ                            jõ
jõtt                          jõt
jõve                          jõv
jöhessek                      jöhess
jöhessen                      jöhess
jöhet                         jöh
jöhetek                       jöhet
jöhetett                      jöhetet
jöhetnek                      jöhet
jöhettek                      jöhett
jöhettük                      jöhett
jöhettünk                     jöhett
jöhetünk                      jöhet
jöhetõ                        jöhetõ
jöjjek                        jöjj
jöjjenek                      jöj
jöjjön                        jöjj
jöjjünk                       jöjj
jön                           jön
jönne                         jönn
jönnek                        jön
jönnek                        jön
jönni                         jönn
jönnie                        jönn
jönnék                        jönne
jönnénk                       jönne
jönnöd                        jönn
jönnöm                        jönnö
jönnünk                       jönn
jöttek                        jött
jöttem                        jött
jöttetek                      jöttet
jöttél                        jöttél
jöttök                        jött
jöttünk                       jött
jövök                         jöv
jövünk                        jöv
jött                          jöt
jött-ment                     jött-men
jöttment                      jöttmen
jöttmenttõl                   jöttment
jöve                          jöv
jövedelem-kiesést             jövedelem-kiesés
jövedelemadó                  jövedelemadó
jövedelemadóba                jövedelemadó
jövedelemadóhoz               jövedelemadó
jövedelemadóról               jövedelemadó
jövedelemadózásban            jövedelemadózás
jövedelemcentralizáció        jövedelemcentralizáció
jövedelememelkedéssel         jövedelememelkedés
jövedelemfokozás              jövedelemfokozás
jövedelemfokozásra            jövedelemfokozás
jövedelemforrásokból          jövedelemforrás
jövedelemfüggõ                jövedelemfüggõ
jövedelemkiegészítési         jövedelemkiegészítés
jövedelemkorlátozó            jövedelemkorlátozó
jövedelempolitikai            jövedelempoliti
jövedelempolitikáról          jövedelempolit
jövedelempótló                jövedelempótló
jövedelemrészre               jövedelemrész
jövedelemszabályozási         jövedelemszabályozás
jövedelemszerzési             jövedelemszerzés
jövedelemszerzésre            jövedelemszerzés
jövedelemszerzést             jövedelemszerzés
jövedelemszerzés              jövedelemszerzés
jövedelemszint                jövedelemszin
jövedelemtermelõ              jövedelemtermelõ
jövedelme                     jövedelm
jövedelmeik                   jövedelm
jövedelmeikbõl                jövedelm
jövedelmeiket                 jövedelm
jövedelmek                    jövedelm
jövedelmeket                  jövedelm
jövedelmekre                  jövedelm
jövedelmet                    jövedel
jövedelembõl                  jövedel
jövedelem                     jövedel
jövedelemnek                  jövedel
jövedelmébõljövedelmének      jövedelmébõljövedelm
jövedelmére                   jövedelm
jövedelmét                    jövedelm
jövedelmük                    jövedelm
jövedelmüket                  jövedelm
jövedelmezõ                   jövedelmezõ
jövedelmezõek                 jövedelmezõ
jövedelmezõnek                jövedelmezõ
jövedelmezõségi               jövedelmezõség
jövedelmezõségszámítást       jövedelmezõségszámítás
jövedelmezõségébe             jövedelmezõség
jövedelmezõségének            jövedelmezõség
jövedelmi                     jövedelm
jövedelmûektõl                jövedelmû
jövedéki                      jövede
jövendõbeli                   jövendõbel
jövendõt                      jövendõ
jövendõ                       jövendõ
jövendölik                    jövendöl
jövet                         jöv
jövetel                       jövetel
jövetelük                     jövetel
jövevény                      jövevény
jövevényeket                  jövevény
jövõbeli                      jövõbel
jövõbeliekrõl                 jövõbeli
jövõbeliektõl                 jövõbeli
jövõbeni                      jövõben
jövõben                       jövõ
jövõbe                        jövõ
jövõhöz                       jövõ
jövõje                        jövõ
jövõjében                     jövõ
jövõjének                     jövõ
jövõjére                      jövõ
jövõjérõl                     jövõ
jövõjét                       jövõ
jövõjétõl                     jövõ
jövõjével                     jövõ
jövõjük                       jövõ
jövõjüket                     jövõ
jövõjükre                     jövõ
jövõm                         jövõ
jövõmben                      jövõ
jövõmet                       jövõ
jövõmmel                      jövõ
jövõmmel                      jövõ
jövõnek                       jövõ
jövõnk                        jövõ
jövõnket                      jövõ
jövõre                        jövõ
jövõ                          jövõ
jövõk                         jövõ
jövõt                         jövõ
jövõrõl                       jövõ
jövõvel                       jövõ
jövõért                       jövõ
jövõtõl                       jövõ
jövõkkel                      jövõ
jövõkép                       jövõkép
jövõképe                      jövõkép
jövõképhez                    jövõkép
jövõképpel                    jövõkép
jövõképének                   jövõkép
július-augusztus              július-augusztus
július-szeptemberi            július-szeptember
júliusban                     július
július                        július
júliusig                      július
júliusra                      július
júliusában                    július
júliusi                       július
június                        június
júniusba                      június
júniusban                     június
júniusig                      június
júniusra                      június
júniusában                    június
júniusi                       június
júnus                         júnus
kabalisztikus                 kabalisztikus
kabardok                      kabard
kabarettisták                 kabarettista
kabaréba                      kabar
kabaréban                     kabar
kabaréját                     kabaré
kabinajtaja                   kabinajta
kabinajtaján                  kabinajta
kabinet                       kabin
kabinetet                     kabinet
kabinetfõnöke                 kabinetfõn
kabinfolyosó                  kabinfolyosó
kabinhoz                      kabin
kabinja                       kabin
kabinjaikba                   kabin
kabinjukat                    kabin
kabinjába                     kabin
kabinjában                    kabin
kabinjából                    kabin
kabinján                      kabin
kabinba                       kabin
kabin                         kab
kabinban                      kabin
kabinból                      kabin
kabinnál                      kabin
kabinok                       kabin
kabinomban                    kabin
kabinra                       kabin
kabinról                      kabin
kabint                        kabin
kabinkulcsot                  kabinkulcs
kabinlámpa                    kabinlámp
kabinsor                      kabinsor
kabát                         kab
kabáthoz                      kabát
kabátjuk                      kabát
kabátjában                    kabát
kabátjára                     kabát
kabátomat                     kabát
kabátot                       kabát
kabátunkat                    kabát
kabátos                       kabátos
kacagunk                      kacag
kacagva                       kacagv
kacagás                       kacagás
kacaja                        kaca
kacat                         kac
kacatokat                     kacat
kacsabeszél                   kacsabeszél
kacsabeszélõrõl               kacsabeszélõ
kacsahápogás                  kacsahápogás
kacsalábon                    kacsaláb
kacsalábonforgó               kacsalábonforgó
kacsamódra                    kacsamó
kacsapapához                  kacsapap
kacsingatni                   kacsingatn
kacskaringósat                kacskaringós
kacsák                        kacsa
kacsa                         kacs
kacéran                       kacér
kacérkodik                    kacérkod
kadett                        kadet
kadétjának                    kadét
kadétruhában                  kadétruh
kadétruhás                    kadétruhás
kafkai                        kaf
kagyló                        kagyló
kagylóba                      kagyló
kagylóból                     kagyló
kagylókat                     kagyló
kagylót                       kagyló
kagylóritkaság                kagylóritkaság
kainozoikum                   kainozoiku
kairói                        kairó
kajaidõ                       kajaidõ
kajak-kenu                    kajak-kenu
kajaknégyes                   kajaknégyes
kajakos                       kajakos
kajakszövetség                kajakszövetség
kajaszünet                    kajaszün
kajszibarack                  kajszibarac
kajáljunk                     kajálj
kajálni                       kajáln
kajáltam                      kajált
kajáltunk                     kajált
kajálás                       kajálás
kaján                         ka
kajánk                        kaja
kajából                       ka
kajáját                       kajá
kajára                        ka
kaját                         ka
kajütablak                    kajütabl
kajütbe                       kajüt
kajüt                         kajü
kajütben                      kajüt
kajütbõl                      kajüt
kajütje                       kajüt
kajütjébe                     kajüt
kajütjébõl                    kajüt
kajütjét                      kajüt
kajütömbe                     kajütö
kajütöt                       kajüt
kajütsoron                    kajütsor
kajütszekrényt                kajütszekrény
kajütágyból                   kajütágy
kakadu                        kakadu
kakas                         kakas
kakasai                       kakas
kakasokkal                    kakas
kakast                        kakas
kakasszóra                    kakasszó
kakaót                        kakaó
kakaóval                      kakaó
kakaózni                      kakaózn
kalanddús                     kalanddús
kalandfilm                    kalandfil
kalandja                      kaland
kaland                        kalan
kalandjai                     kaland
kalandjaikról                 kaland
kalandnak                     kalan
kalandok                      kaland
kalandokat                    kaland
kalandokba                    kaland
kalandokban                   kaland
kalandokkal                   kaland
kalandoknak                   kaland
kalandot                      kalan
kalandra                      kalan
kalandtól                     kalan
kalandori                     kalandor
kalandorok                    kalandor
kalandor                      kalandor
kalandorság                   kalandorság
kalandos                      kalandos
kalandosabban                 kalandosab
kalandozni                    kalandozn
kalandozásaim                 kalandozás
kalandvágy                    kalandvágy
kalandvágya                   kalandvágy
kalandvágyók                  kalandvágyó
kalap                         kalap
kalapba                       kalap
kalapban                      kalap
kalapjukat                    kalap
kalapját                      kalap
kalapokat                     kalap
kalapokban                    kalap
kalapot                       kalap
kalappal                      kalap
kalaptû                       kalaptû
kalaptûszúrást                kalaptûszúrás
kalapáccsal                   kalapács
kalapács                      kalapács
kalapácsa                     kalapács
kalapácsot                    kalapács
kalapácsütések                kalapácsütés
kalapál                       kalapál
kalapált                      kalapál
kalauzolja                    kalauzol
kalauzolta                    kalauzolt
kalauz                        kalauz
kalauzt                       kalauz
kalauzunkul                   kalauz
kalauzzal                     kalauz
kaledzsin                     kaledzs
kaleidoszkópféle              kaleidoszkópfél
kaleidoszkópnál               kaleidoszkóp
kaleidoszkópoknak             kaleidoszkóp
kalendáriumból                kalendáriu
kalendáriumkészítõ            kalendáriumkészítõ
kalibrálni                    kalibráln
kaliforniai                   kaliforni
kalimpáltam                   kalimpált
kalitkaajtó                   kalitkaajtó
kalitkában                    kalit
kalitka                       kalit
kalitkát                      kalit
kalkulatív                    kalkulatív
kalkulációi                   kalkuláció
kalkuláció                    kalkuláció
kalkulációhoz                 kalkuláció
kalkulációja                  kalkuláció
kalkulációkhoz                kalkuláció
kalkuláción                   kalkuláció
kalkulációról                 kalkuláció
kalkulációt                   kalkuláció
kalkulál                      kalkulál
kalkulálják                   kalkulálja
kalkulálnak                   kalkulál
kalkulált                     kalkulál
kalkulálva                    kalkulálv
kalodáról                     kalod
kalácsillat                   kalácsill
kalácsot                      kalács
kalóriák                      kalória
kalózfilmek                   kalózfilm
kalózfiú                      kalózfiú
kalózkazetták                 kalózkazetta
kalózkiadványokat             kalózkiadvány
kalózkiadásban                kalózkiadás
kalózkodás                    kalózkodás
kalózkodást                   kalózkodás
kalózkölyök                   kalózköly
kalóznak                      kalóz
kalóz                         kalóz
kalózt                        kalóz
kalózzal                      kalóz
kalózos                       kalózos
kamarabeli                    kamarabel
kamaraegyüttes                kamaraegyüttes
kamarai                       kamar
kamaramûvet                   kamaramûv
kamaraoperát                  kamaraoper
kamarazene                    kamarazen
kamaraárverezõk               kamaraárverezõ
kamarából                     kamar
kamara                        kam
kamarájában                   kamará
kamarák                       kamara
kamarákhoz                    kamara
kamaráknál                    kamara
kamarákra                     kamara
kamarákról                    kamara
kamarának                     kamar
kamaráról                     kamar
kamaszfiúk                    kamaszfiú
kamaszkori                    kamaszkor
kamaszkora                    kamasz
kamaszkorban                  kamaszkor
kamaszkorom                   kamaszkor
kamaszkoromra                 kamaszkor
kamaszkorunkban               kamaszkor
kamaszkorában                 kamaszkor
kamaszkorára                  kamaszkor
kamaszlányból                 kamaszlány
kamaszlányt                   kamaszlány
kamaszlázadásból              kamaszlázadás
kamaszodó                     kamaszodó
kamaszok                      kamasz
kamasz                        kamasz
kamaszon                      kamasz
kamasztól                     kamasz
kamaszos                      kamaszos
kamaszosan                    kamaszos
kamaszosságával               kamaszosság
kamasztestet                  kamasztest
kamaszéveimrõl                kamaszév
kamaszévek                    kamaszév
kamatadóra                    kamatadó
kamatcsökkentés               kamatcsökkentés
kamatcsökkentései             kamatcsökkentés
kamatcsökkentést              kamatcsökkentés
kamatcsökkentési              kamatcsökkentés
kamatfeltételein              kamatfeltétel
kamatfizetés                  kamatfizetés
kamatfizetésre                kamatfizetés
kamatforrása                  kamatforrás
kamatlefaragásnak             kamatlefaragás
kamatleolvadásra              kamatleolvadás
kamatleszállításra            kamatleszállítás
kamatlába                     kamatl
kamatlábak                    kamatláb
kamatlábakat                  kamatláb
kamatlábat                    kamatláb
kamatlábát                    kamatláb
kamatmarzsok                  kamatmarzs
kamatmentesen                 kamatmentes
kamatmérséklésnek             kamatmérséklés
kamat                         kam
kamata                        kamat
kamatai                       kamat
kamatait                      kamat
kamataiból                    kamat
kamatnál                      kamat
kamatok                       kamat
kamatokat                     kamat
kamatokhoz                    kamat
kamatokkal                    kamat
kamaton                       kamat
kamatot                       kamat
kamatra                       kamat
kamattal                      kam
kamatának                     kamat
kamatát                       kamat
kamatostul                    kamatost
kamatostól                    kamatos
kamatozik                     kamatoz
kamatozott                    kamatozot
kamatoztathatja               kamatoztathat
kamatoztathatjuk              kamatoztathat
kamatoztatni                  kamatoztatn
kamatoztatnám                 kamatoztatna
kamatoztatta                  kamatoztatt
kamatozású                    kamatozású
kamatozó                      kamatozó
kamatpolitika                 kamatpolit
kamatszint                    kamatszin
kamatszintet                  kamatszint
kamatszintjét                 kamatszint
kamattartalmú                 kamattartalmú
kamatteher                    kamatteher
kamatterhei                   kamatterh
kamatterhek                   kamatterh
kamattámogatás                kamattámogatás
kamattámogatással             kamattámogatás
kamattámogatást               kamattámogatás
kamattámogatású               kamattámogatású
kamatvágásával                kamatvágás
kamerahasználat               kamerahasznál
kamerába                      kamer
kamera                        kam
kamerából                     kamer
kamerájával                   kamerá
kamerák                       kamera
kamerákból                    kamera
kamerákkal                    kamera
kamerákra                     kamera
kamerának                     kamer
kamerát                       kamer
kamerával                     kamer
kamerás                       kamerás
kamerásítása                  kamerásítás
kamerázni                     kamerázn
kamerázott                    kamerázot
kamioncsordát                 kamioncsord
kamion                        kam
kamionba                      kamion
kamionban                     kamion
kamionok                      kamion
kamionokat                    kamion
kamionokra                    kamion
kamionos                      kamionos
kamionparádén                 kamionparád
kamionsofõrnek                kamionsofõr
kamkorderek                   kamkorder
kampány                       kampány
kampánya                      kampány
kampányokat                   kampány
kampányra                     kampány
kampányról                    kampány
kampányt                      kampány
kampányának                   kampány
kampányát                     kampány
kampányfogásként              kampányfogás
kampányolnia                  kampányoln
kampón                        kampó
kampós                        kampós
kamrába                       kamr
kamrában                      kamr
kamrák                        kamra
kanadai                       kanad
kanalas                       kanalas
kanalazták                    kanalazta
kanasztáztunk                 kanasztázt
kancellári                    kancellár
kancellária                   kancellár
kancellárián                  kancellár
kancellár                     kancellár
kancellárja                   kancellár
kancellárjának                kancellár
kancellárt                    kancellár
kancellárénál                 kancellár
kancsóban                     kancsó
kancának                      kanc
kancára                       kanc
kancával                      kanc
kandalló                      kandalló
kandallók                     kandalló
kandallópárkányon             kandallópárkány
kandikált                     kandikál
kandúrt                       kandúr
kannácskák                    kannácska
kannácskákat                  kannácska
kanna                         kann
kannába                       kann
kannák                        kanna
kannákban                     kanna
kannákkal                     kanna
kannát                        kann
kant                          kan
kantin                        kant
kantinba                      kantin
kantinban                     kantin
kantinbeli                    kantinbel
kantonizáció                  kantonizáció
kantonizálását                kantonizálás
kantonoknak                   kanton
kanton                        kant
kantonokra                    kanton
kantonra                      kanton
kantárt                       kantár
kantáták                      kantáta
kanyar                        kanyar
kanyarban                     kanyar
kanyargó                      kanyargó
kanyargós                     kanyargós
kanyargósak                   kanyargós
kanyarodik                    kanyarod
kanyarodjunk                  kanyarodj
kanyarodni                    kanyarodn
kanyarodott                   kanyarodot
kanyarodtak                   kanyarodt
kanyarokat                    kanyar
kanyarodtunk                  kanyarodt
kanyarodva                    kanyarodv
kanyarodásnál                 kanyarodás
kanyarulatnál                 kanyarulat
kanyarítja                    kanyarít
kanyarót                      kanyaró
kanál                         ka
kanala                        kanal
kanalak                       kanal
kanalat                       kanal
kanalát                       kanal
kanállal                      ka
kanálért                      kanál
kaotikus                      kaotikus
kapacitás                     kapacitás
kapacitása                    kapacitás
kapacitásaikat                kapacitás
kapacitásait                  kapacitás
kapacitásból                  kapacitás
kapacitásig                   kapacitás
kapacitásnak                  kapacitás
kapacitással                  kapacitás
kapacitást                    kapacitás
kapacitásukkal                kapacitás
kapacitásunk                  kapacitás
kapacitásának                 kapacitás
kapacitásáról                 kapacitás
kapacitását                   kapacitás
kapacitásától                 kapacitás
kapacitásért                  kapacitás
kapacitásfüggõ                kapacitásfüggõ
kapacitásfüggõen              kapacitásfüggõ
kapacitásigény                kapacitásigény
kapacitáskihasználatlanság    kapacitáskihasználatlanság
kapacitásnövelése             kapacitásnövelés
kapacitáspályázatán           kapacitáspályázat
kapacitástervezés             kapacitástervezés
kapacitású                    kapacitású
kaparnának                    kaparn
kapart                        kapar
kapar                         kapar
kaparta                       kapart
kapartak                      kapart
kaparva                       kaparv
kaparászott                   kaparászot
kapaszkodik                   kapaszkod
kapaszkodni                   kapaszkodn
kapaszkodott                  kapaszkodot
kapaszkodtam                  kapaszkodt
kapaszkodunk                  kapaszkod
kapaszkodva                   kapaszkodv
kapaszkodásra                 kapaszkodás
kapaszkodó                    kapaszkodó
kapatos                       kapatos
kapcsait                      kapcs
kapcsok                       kapcs
kapcsokat                     kapcs
kapcsolatbontás               kapcsolatbontás
kapcsolatfelvétel             kapcsolatfelvétel
kapcsolatfelvételre           kapcsolatfelvétel
kapcsolatfelvételt            kapcsolatfelvétel
kapcsolatfelépítést           kapcsolatfelépítés
kapcsolati                    kapcsolat
kapcsolatmegosztás            kapcsolatmegosztás
kapcsolatmegosztáshoz         kapcsolatmegosztás
kapcsolatmegosztásnak         kapcsolatmegosztás
kapcsolatnélküli              kapcsolatnélkül
kapcsolatod                   kapcsolat
kapcsolatok                   kapcsolat
kapcsolatok                   kapcsolat
kapcsolatokat                 kapcsolat
kapcsolatokban                kapcsolat
kapcsolatokból                kapcsolat
kapcsolatokhoz                kapcsolat
kapcsolatokkal                kapcsolat
kapcsolatoknak                kapcsolat
kapcsolatokon                 kapcsolat
kapcsolatokra                 kapcsolat
kapcsolatokról                kapcsolat
kapcsolatoké                  kapcsolat
kapcsolatom                   kapcsolat
kapcsolatomat                 kapcsolat
kapcsolaton                   kapcsolat
kapcsolatonként               kapcsolat
kapcsolat                     kapcsol
kapcsolata                    kapcsolat
kapcsolatai                   kapcsolat
kapcsolataiból                kapcsolat
kapcsolatainkat               kapcsolat
kapcsolatairól                kapcsolat
kapcsolatait                  kapcsolat
kapcsolatba                   kapcsolat
kapcsolatban                  kapcsolat
kapcsolatból                  kapcsolat
kapcsolathoz                  kapcsolat
kapcsolatként                 kapcsolat
kapcsolatnak                  kapcsolat
kapcsolatot                   kapcsolat
kapcsolatotok                 kapcsolatot
kapcsolatra                   kapcsolat
kapcsolatról                  kapcsolat
kapcsolattal                  kapcsol
kapcsolatuk                   kapcsolat
kapcsolatukat                 kapcsolat
kapcsolatunk                  kapcsolat
kapcsolatához                 kapcsolat
kapcsolatára                  kapcsolat
kapcsolatát                   kapcsolat
kapcsolatával                 kapcsolat
kapcsolatorientált            kapcsolatorientál
kapcsolatos                   kapcsolatos
kapcsolatosak                 kapcsolatos
kapcsolatosan                 kapcsolatos
kapcsolatosban                kapcsolatos
kapcsolatrendszer             kapcsolatrendszer
kapcsolatrendszere            kapcsolatrendsz
kapcsolatrendszert            kapcsolatrendszer
kapcsolatrendszerük           kapcsolatrendszer
kapcsolattartás               kapcsolattartás
kapcsolattartásaival          kapcsolattartás
kapcsolattartáshoz            kapcsolattartás
kapcsolattartó                kapcsolattartó
kapcsolatteremtés             kapcsolatteremtés
kapcsolatteremtésre           kapcsolatteremtés
kapcsolattípus                kapcsolattípus
kapcsolattípusok              kapcsolattípus
kapcsolattípusra              kapcsolattípus
kapcsolgatni                  kapcsolgatn
kapcsolhatja                  kapcsolhat
kapcsolhatunk                 kapcsolhat
kapcsolható                   kapcsolható
kapcsolhatók                  kapcsolható
kapcsolhatóságára             kapcsolhatóság
kapcsolja                     kapcsol
kapcsoljanak                  kapcsol
kapcsol                       kapcsol
kapcsoljuk                    kapcsol
kapcsolják                    kapcsolja
kapcsolni                     kapcsoln
kapcsolnom                    kapcsoln
kapcsolnunk                   kapcsoln
kapcsoltam                    kapcsolt
kapcsoltuk                    kapcsolt
kapcsolták                    kapcsolta
kapcsolunk                    kapcsol
kapcsolt                      kapcsol
kapcsoltlengõkaros            kapcsoltlengõkaros
kapcsolva                     kapcsolv
kapcsolása                    kapcsolás
kapcsoláson                   kapcsolás
kapcsolásra                   kapcsolás
kapcsolóberendezésekkel       kapcsolóberendezés
kapcsolódhassanak             kapcsolódhass
kapcsolódhasson               kapcsolódhass
kapcsolódhassunk              kapcsolódhass
kapcsolódhat                  kapcsolódh
kapcsolódhatna                kapcsolódhatn
kapcsolódhatnak               kapcsolódhat
kapcsolódhattak               kapcsolódhatt
kapcsolódhatunk               kapcsolódhat
kapcsolódik                   kapcsolód
kapcsolódjanak                kapcsolód
kapcsolódjon                  kapcsolódj
kapcsolódjunk                 kapcsolódj
kapcsolódna                   kapcsolódn
kapcsolódnak                  kapcsoló
kapcsolódni                   kapcsolódn
kapcsolódnia                  kapcsolódn
kapcsolódniuk                 kapcsolódn
kapcsolódnunk                 kapcsolódn
kapcsolódnánk                 kapcsolódna
kapcsolódottan                kapcsolódott
kapcsolódtak                  kapcsolódt
kapcsolódtunk                 kapcsolódt
kapcsolódunk                  kapcsolód
kapcsolódott                  kapcsolódot
kapcsolódás                   kapcsolódás
kapcsolódása                  kapcsolódás
kapcsolódáshoz                kapcsolódás
kapcsolódásra                 kapcsolódás
kapcsolódást                  kapcsolódás
kapcsolódási                  kapcsolódás
kapcsolódó                    kapcsolódó
kapcsolódóan                  kapcsolódó
kapcsolóelemeknél             kapcsolóelem
kapcsolói                     kapcsoló
kapcsolók                     kapcsoló
kapcsolókat                   kapcsoló
kapcsoló                      kapcsoló
kapcsolóké                    kapcsoló
kapcsolót                     kapcsoló
kapcsolóval                   kapcsoló
kapcsolóközpont               kapcsolóközpon
kapcsolóközponthoz            kapcsolóközpont
kapcsolóközpontnak            kapcsolóközpont
kapcsolóközpontot             kapcsolóközpont
kapcsolómezõ                  kapcsolómezõ
kapcsolómátrix                kapcsolómátrix
kapcsolómátrixszal            kapcsolómátrixszal
kapcsán                       kapcs
kapdostak                     kapdost
kaphassanak                   kaphass
kaphasson                     kaphass
kaphat                        kaph
kaphatja                      kaphat
kaphatjuk                     kaphat
kaphatna                      kaphatn
kaphatnak                     kaphat
kaphatnák                     kaphatna
kaphatnának                   kaphatn
kaphatnék                     kaphatne
kaphatok                      kaphat
